,t,r(t),e(t),u(t),y(t),E(t)
0,0.0,1,1.0,0.01025,0.0,0.0
1,2.5,1,1.0,0.010125,2.5510204081632657e-05,2.5
2,5.0,1,0.9999744897959184,0.009841578443878212,0.00034269892626039966,5.0
3,7.5,1,0.9996573010737396,0.005296510618511054,0.004130997657249386,7.5
4,10.0,1,0.9958690023427507,-0.050154606047103,0.0492952769520663,9.999936224489796
5,12.5,1,0.9507047230479337,-0.7125025865849859,0.5877007770849242,12.499079477174146
6,15.0,1,0.4122992229150758,-8.609688518519853,7.006031237131753,14.988751983031023
7,17.5,1,-6.006031237131753,-102.75334898942606,83.51891333852075,17.36551379065086
8,20.0,1,-82.51891333852075,-1225.0407493440869,995.6285474899345,18.396261847938547
9,22.5,1,-994.6285474899345,-14603.823840652864,11868.882320039864,3.3811837551091664
10,25.0,1,-11867.882320039864,-174092.22250023007,141488.87882899417,-202.9160995911927
11,27.5,1,-141487.87882899417,-2075352.5190622178,1686688.12151676,-2689.4874683160288
12,30.0,1,-1686687.12151676,-24740265.724583983,20106999.523368504,-32359.193268415685
13,32.5,1,-20106998.523368504,-294928567.40763664,239695427.19498438,-386078.89034090115
14,35.0,1,-239695426.19498438,-3515841778.240022,2857407827.1300373,-4602796.694132801
15,37.5,1,-2857407826.1300373,-41912329883.34025,34063142489.164234,-54870293.00255406
16,40.0,1,-34063142488.164234,-499636646653.75446,406066528278.0091,-654108858.490015
17,42.5,1,-406066528277.0091,-5956165628925.766,4840716778852.921,-7797628423.815108
18,45.0,1,-4840716778851.921,-71003416656465.89,57706157245803.23,-92955484644.2257
19,47.5,1,-57706157245802.23,-846431326961092.9,687914772999064.1,-1108121805336.7483
20,50.0,1,-687914772999063.1,-1.009030304453488e+16,8200628104460552.0,-13209913752466.55
21,52.5,1,-8200628104460551.0,-1.2028644532343715e+17,9.775964108821336e+16,-157475306866972.12
22,55.0,1,-9.775964108821336e+16,-1.4339340319798285e+18,1.165392126549185e+18,-1877262239364630.0
23,57.5,1,-1.165392126549185e+18,-1.7093919456519969e+19,1.3892632926069318e+19,-2.237883250051601e+16
24,60.0,1,-1.3892632926069318e+19,-2.0377651681964022e+20,1.65613998259975e+20,-2.667779352210494e+17
25,62.5,1,-1.65613998259975e+20,-2.42921870041377e+21,1.974283533266525e+21,-3.1802582515940116e+18
26,1.0,0,-1.974283533266525e+21,0.0,2.3535422794447205e+22,-3.7911840566767305e+19
