,data
0,(-1.9068465917371213e-08+0j)
1,(-1.9074832380283624e-08-1.2369127944111824e-10j)
2,(-1.957050699274987e-08-4.911271389573812e-10j)
3,(-2.0668267097789794e-08-7.34871719032526e-10j)
4,(-2.221713657490909e-08-8.312781574204564e-10j)
5,(-2.42325768340379e-08-7.785274647176266e-10j)
6,(-2.665547071956098e-08-9.677023626863956e-10j)
7,(-3.0551746021956205e-08-2.713932190090418e-09j)
8,(-3.95521055907011e-08-6.4319465309381485e-09j)
9,(-6.097980076447129e-08-1.1728843674063683e-08j)
10,(-1.276639522984624e-07-1.9848812371492386e-08j)
11,(548914.7006355613+34534.78574085636j)
12,(1.1960219126194715e-07-4.3655745685100555e-09j)
13,(5.23286871612072e-08-4.729372449219227e-09j)
14,(3.031163942068815e-08-2.1755113266408443e-09j)
15,(2.073829818982631e-08+2.837623469531536e-10j)
16,(1.6478225006721914e-08+1.469743438065052e-09j)
17,(1.3977114576846361e-08+1.2696546036750078e-09j)
18,(1.168154994957149e-08+7.676135282963514e-10j)
19,(9.666109690442681e-09+4.3291947804391384e-10j)
20,(8.024471753742546e-09+5.275069270282984e-10j)
21,(6.830305210314691e-09+7.676135282963514e-10j)
22,(6.448317435570061e-09+9.786162991076708e-10j)
23,(5.624315235763788e-09+6.948539521545172e-10j)
24,(5.082256393507123e-09+5.420588422566652e-10j)
25,(4.52837412012741e-09+4.747562343254685e-10j)
26,(4.072717274539173e-09+4.838511813431978e-10j)
27,(3.827381078735925e-09+4.81122697237879e-10j)
28,(3.5220182326156646e-09+5.893525667488575e-10j)
29,(3.25508153764531e-09+4.674802767112851e-10j)
30,(3.002242010552436e-09+4.984030965715647e-10j)
31,(2.526121534174308e-09+4.3928594095632434e-10j)
32,(2.3601387511007488e-09+3.2014213502407074e-10j)
33,(2.124124875990674e-09+3.346940502524376e-10j)
34,(1.7475940694566816e-09+7.73070496506989e-10j)
35,(2.01339389604982e-09+3.7834979593753815e-10j)
36,(1.7716956790536642e-09+4.001776687800884e-10j)
37,(1.680291461525485e-09+2.7193891583010554e-10j)
38,(1.6170815797522664e-09+4.18367562815547e-10j)
39,(1.5704699762864038e-09+3.3014657674357295e-10j)
40,(1.2073542166035622e-09+3.6197889130562544e-10j)
41,(1.2514647096395493e-09+4.3655745685100555e-10j)
42,(1.1887095752172172e-09+4.82032191939652e-10j)
43,(1.2403233995428309e-09+2.8694557840935886e-10j)
44,(1.2687451089732349e-09+1.3287717592902482e-09j)
45,(1.1809788702521473e-09+2.6830093702301383e-10j)
46,(1.0359144653193653e-09+2.355591277591884e-10j)
47,(8.208189683500677e-10+2.801243681460619e-10j)
48,(1.0577423381619155e-09+2.892193151637912e-10j)
49,(8.103597792796791e-10+3.7834979593753815e-10j)
50,(7.971721061039716e-10+5.547917680814862e-10j)
51,(9.48375600273721e-10+1.4370016288012266e-10j)
52,(7.248672773130238e-10+2.1645973902195692e-10j)
53,(6.725713319610804e-10+2.5556801119819283e-10j)
54,(7.871676643844694e-10+5.493347998708487e-10j)
55,(6.104983185650781e-10-8.080860425252467e-10j)
56,(6.175469025038183e-10+2.610249794088304e-10j)
57,(4.893081495538354e-10-7.548806024715304e-10j)
58,(7.112248567864299e-10+9.731593308970332e-11j)
59,(6.036771083017811e-10+3.1377567211166024e-10j)
60,(4.0381564758718014e-10+1.9554136088117957e-10j)
61,(5.395577318267897e-10+1.2096279533579946e-10j)
62,(7.948983693495393e-10+3.4924596548080444e-10j)
63,(5.029505700804293e-10+2.6079760573338717e-10j)
64,(4.156390787102282e-10+3.183231456205249e-11j)
65,(5.070432962384075e-10+3.078639565501362e-10j)
66,(4.743014869745821e-10+3.0377123039215803e-10j)
67,(2.5056579033844173e-10+4.524736141320318e-10j)
68,(4.4565240386873484e-10+1.7189449863508344e-10j)
69,(4.4587977754417807e-10+2.4147084332071245e-10j)
70,(1.7917045624926686e-10+5.502442945726216e-11j)
71,(4.924913810100406e-10-4.2859937821049243e-10j)
72,(3.815330273937434e-10+1.2096279533579946e-10j)
73,(4.092726157978177e-10+2.587512426543981e-10j)
74,(3.019522409886122e-10+2.4556356947869062e-11j)
75,(4.035882739117369e-10+3.0831870390102267e-10j)
76,(7.571543392259628e-10+1.405169314239174e-10j)
77,(4.0245140553452075e-10+1.709850039333105e-10j)
78,(3.5061020753346384e-10+2.0827428670600057e-10j)
79,(8.058123057708144e-10+5.4569682106375694e-11j)
80,(2.355591277591884e-10+5.120455170981586e-10j)
81,(4.886260285275057e-10+1.4233592082746327e-10j)
82,(2.2464519133791327e-10+3.956301952712238e-11j)
83,(4.042703949380666e-10+3.169589035678655e-10j)
84,(5.038600647822022e-10+3.4287950256839395e-10j)
85,(3.624336386565119e-10-5.729816621169448e-11j)
86,(2.1782398107461631e-10+5.5933924159035087e-11j)
87,(3.865352482534945e-11+1.6120793588925153e-10j)
88,(3.346940502524376e-10-2.0827428670600057e-10j)
89,(1.780335878720507e-10-8.594724931754172e-11j)
90,(1.1909833119716495e-09+7.73070496506989e-10j)
91,(4.806679498869926e-10-2.994511305587366e-10j)
92,(1.9053914002142847e-10-5.684341886080801e-10j)
93,(4.347384674474597e-10-7.503331289626658e-11j)
94,(8.230927051045e-11+3.333298081997782e-10j)
95,(-5.297806637827307e-10-6.414211384253576e-10j)
96,(1.7644197214394808e-10+5.51608536625281e-10j)
97,(-7.275957614183426e-11-2.701199264265597e-10j)
98,(4.5838532969355583e-10-1.2641976354643703e-10j)
99,(4.274625098332763e-11-1.6893864085432142e-10j)
100,(1.8553691916167736e-10+1.4938450476620346e-10j)
101,(1.6170815797522664e-09+3.7266545405145735e-10j)
102,(2.1827872842550278e-10+2.6784618967212737e-10j)
103,(5.795754987047985e-10+4.0381564758718014e-10j)
104,(-4.320099833421409e-10+2.2782842279411852e-10j)
105,(2.2350832296069711e-10+1.3005774235352874e-10j)
106,(1.77351466845721e-10-3.2741809263825417e-11j)
107,(6.646132533205673e-10+3.5925040720030665e-10j)
108,(5.729816621169448e-11-9.5042196335271e-11j)
109,(1.8121681932825595e-10+3.524291969370097e-11j)
110,(3.8971847970969975e-10+3.012701199622825e-10j)
111,(-1.432454155292362e-11-1.382431946694851e-10j)
112,(-8.913048077374697e-11+1.1868905858136714e-10j)
113,(2.7262103685643524e-10+3.6561687011271715e-10j)
114,(2.473825588822365e-10+5.3660187404602766e-11j)
115,(3.481090971035883e-10+1.3164935808163136e-10j)
116,(2.5920599000528455e-10+4.206412995699793e-11j)
117,(5.7980287238024175e-12+3.410605131648481e-12j)
118,(-1.8758328224066645e-10+3.0240698833949864e-11j)
119,(-1.1823431123048067e-11-3.501554601825774e-11j)
120,(-9.299583325628191e-11+5.32054400537163e-11j)
121,(1.6825651982799172e-11-7.02584657119587e-11j)
122,(-1.382431946694851e-10+5.636593414237723e-10j)
123,(2.1714186004828662e-11-2.767137630144134e-10j)
124,(-1.525677362224087e-10+1.800799509510398e-10j)
125,(1.2653345038415864e-10+1.9895196601282805e-10j)
126,(-5.729816621169448e-11+3.8767211663071066e-10j)
127,(-4.774847184307873e-11+1.60889612743631e-09j)
128,(1.2096279533579946e-10+1.2141754268668592e-10j)
129,(-8.805045581539162e-10+7.030394044704735e-10j)
130,(4.283720045350492e-10+8.793676897767e-10j)
131,(7.73070496506989e-12+2.864908310584724e-10j)
132,(-1.4915713109076023e-10+7.975131666171364e-10j)
133,(-7.275957614183426e-12-9.185896487906575e-11j)
134,(-1.496118784416467e-10+1.2425971362972632e-10j)
135,(-4.3996806198265404e-11-6.459686119342223e-10j)
136,(-2.5852386897895485e-10-1.8246737454319373e-10j)
137,(7.969447324285284e-10-3.5765879147220403e-10j)
138,(1.1050360626541078e-10+1.21985976875294e-10j)
139,(-4.263256414560601e-11+2.955857780762017e-11j)
140,(2.9035618354100734e-10+2.440856405883096e-10j)
141,(8.29913915367797e-12-3.205968823749572e-11j)
142,(-1.3233147910796106e-10-3.700506567838602e-10j)
143,(-5.0818016461562365e-11+1.0163603292312473e-10j)
144,(2.94903657049872e-10+2.3715074348729104e-10j)
145,(-6.874643077026121e-10+1.546140993013978e-11j)
146,(-1.7416823538951576e-10+1.3822045730194077e-09j)
147,(2.6693669497035444e-10+1.8144419300369918e-10j)
148,(1.0686562745831907e-10-1.8599166651256382e-10j)
149,(-7.810285751475021e-10+4.974936018697917e-10j)
150,(2.1009327610954642e-10+7.355538400588557e-11j)
151,(-3.559534889063798e-10-2.02817318495363e-10j)
152,(-2.8558133635669947e-10-4.4803982746088877e-10j)
153,(-3.5140601539751515e-10+6.650680006714538e-10j)
154,(-5.7980287238024175e-11+2.036131263594143e-10j)
155,(2.517595021345187e-10-1.0550138540565968e-10j)
156,(2.758042683126405e-10-2.7341684472048655e-10j)
157,(2.219167072325945e-10+4.665707820095122e-10j)
158,(3.1377567211166024e-10+3.0377123039215803e-10j)
159,(2.0463630789890885e-12+2.31239027925767e-10j)
160,(-7.571543392259628e-11+1.6405010683229193e-10j)
161,(-1.6621015674900264e-10-7.73070496506989e-12j)
162,(-9.81799530563876e-10+1.7053025658242404e-12j)
163,(7.071321306284517e-11+7.321432349272072e-10j)
164,(1.978150976356119e-11+2.3305801732931286e-11j)
165,(-1.0413714335300028e-10+2.8694557840935886e-10j)
166,(-6.843947630841285e-11+5.830997906741686e-10j)
167,(-2.7921487344428897e-10+3.8539837987627834e-10j)
168,(-3.608420229284093e-10-2.5499957700958475e-10j)
169,(3.225295586162247e-10+2.2873791749589145e-10j)
170,(-2.2032509150449187e-10-2.7421265258453786e-10j)
171,(2.0651214072131552e-10+3.292370820418e-10j)
172,(1.0518306226003915e-09-8.276401786133647e-11j)
173,(5.398987923399545e-10-2.5693225325085223e-11j)
174,(2.2964741219766438e-10+2.610249794088304e-10j)
175,(5.043148121330887e-10+1.3653789210366085e-09j)
176,(-4.267803888069466e-10+3.7778136174893007e-10j)
177,(4.808953235624358e-11+2.0099832909181714e-10j)
178,(-8.344613888766617e-11+2.2964741219766438e-11j)
179,(-3.1513991416431963e-10+7.753442332614213e-10j)
180,(1.0413714335300028e-10+6.056097845430486e-10j)
181,(-7.93193066783715e-10+1.127773430198431e-10j)
182,(-1.3083081285003573e-09-5.3660187404602766e-11j)
183,(5.570655048359185e-10-1.6189005691558123e-10j)
184,(-3.986997398897074e-10+1.5469368008780293e-09j)
185,(-3.675495463539846e-10+2.0190782379359007e-10j)
186,(-1.1141310096718371e-11-6.142499842098914e-10j)
187,(8.138840712490492e-10-5.093170329928398e-11j)
188,(4.135927156312391e-10-1.4631496014771983e-10j)
189,(-2.1316282072803006e-10+1.894022716442123e-10j)
190,(4.6406967157963663e-10-8.333245204994455e-11j)
191,(-2.7608848540694453e-10-5.54564394406043e-10j)
192,(6.373284122673795e-10-4.6213699533836916e-10j)
193,(-2.148681232938543e-11+1.4506440493278205e-10j)
194,(-5.799165592179634e-10+3.4356162359472364e-10j)
195,(5.763354238297325e-10-3.290097083663568e-10j)
196,(-2.9558577807620168e-12-1.9770141079789028e-10j)
197,(-1.4365468814503402e-09-2.485649019945413e-09j)
198,(6.230038707144558e-11-2.2464519133791327e-10j)
199,(1.4205170373315923e-10+1.6279955161735415e-10j)
200,(-6.631353244301863e-10+4.2249439502484165e-09j)
201,(-2.5795543479034677e-10+3.276454663136974e-10j)
202,(6.004938768455759e-10-1.6439116734545678e-10j)
203,(-2.4778046281426214e-10+5.602487362921238e-10j)
204,(3.1513991416431963e-10+1.6018475434975699e-10j)
205,(-1.3369572116062045e-10-2.653450792422518e-10j)
206,(2.54101450991584e-09+2.4424480216111988e-09j)
207,(2.5841018214123324e-10-1.3324097380973399e-10j)
208,(1.9178969523636624e-10+5.293259164318442e-10j)
209,(7.821086001058575e-10-4.727098712464795e-10j)
210,(6.62339516566135e-10+7.705693860771134e-10j)
211,(6.195932655828074e-11+3.4992808650713414e-10j)
212,(2.374918040004559e-10+3.069544618483633e-11j)
213,(-6.885443326609675e-10+1.1732481652870774e-10j)
214,(6.161826604511589e-11+2.701199264265597e-10j)
215,(-7.65680852055084e-11-2.9240254661999643e-10j)
