,data
0,(-7.999999999714959+0j)
1,(-8.080754020437261-0.012699578944626921j)
2,(-8.338929978672667-0.026210712775380784j)
3,(-8.83095499377032-0.04163602138163469j)
4,(-9.689972028935784-0.060915149450352146j)
5,(-11.243451747195593-0.08835185683830105j)
6,(-14.491028240710875-0.13664709466388558j)
7,(-24.46799747244347-0.2691851295980996j)
8,(4992.636254640187+62.77401050177228j)
9,(15.619691387576722+0.22094338391411839j)
10,(5.722828623872942+0.08994635708381793j)
11,(2.4293651799017084+0.042001600031881026j)
12,(0.7844894913440896+0.014796430130502358j)
13,(-0.20557626814553487-0.004200624313455137j)
14,(-0.8724080547913786-0.01919795054328688j)
15,(-1.3582396025234686-0.032024708520964396j)
16,(-1.7343491576078307-0.04361994775231892j)
17,(-2.040559144345721-0.054530381512023496j)
18,(-2.301053939759896-0.0651106829678838j)
19,(-2.531586913293552-0.07561581266850226j)
20,(-2.7431050901950798-0.08624870308801746j)
21,(-2.9437284440871423-0.09718781925747066j)
22,(-3.1399173673422425-0.10860531535433893j)
23,(-3.3372219723574617-0.12068108628244545j)
24,(-3.540816854145863-0.13361579545527746j)
25,(-3.755939383476985-0.1476451588431189j)
26,(-3.988313084156747-0.1630577585433315j)
27,(-4.244628935719966-0.18021931589683504j)
28,(-4.533170959759886-0.19960786709091138j)
29,(-4.864713485338676-0.22186724420429016j)
30,(-5.253905395900215-0.24789201864787458j)
31,(-5.721538861836656-0.2789686628668733j)
32,(-6.298491817231032-0.31702241798144026j)
33,(-7.033033105119497-0.365076011319708j)
34,(-8.005434891383125-0.4281683182802798j)
35,(-9.360170654229805-0.5153795695807766j)
36,(-11.386634427837269-0.644909372593105j)
37,(-14.7623634440056-0.8593786671316508j)
38,(-21.533277777294586-1.2875009271774331j)
39,(-42.09535407156656-2.583331641926293j)
40,(1992.3245574616767+125.40930662275959j)
41,(37.663290786726805+2.430193326759536j)
42,(18.299405895274077+1.2096360472851302j)
43,(11.752335455403312+0.7954108846641361j)
44,(8.457429495421536+0.5857619158707053j)
45,(6.471223959174154+0.45841720437741174j)
46,(5.141556783973229+0.37234630408826774j)
47,(4.187840406323886+0.30989594625356176j)
48,(3.4694091405368397+0.26221572100357093j)
49,(2.9079587940207574+0.22437841464665098j)
50,(2.456429310199084+0.19342228951374807j)
51,(2.0848294651106514+0.16745926321742388j)
52,(1.7731372274288049+0.14522824725419525j)
53,(1.5074716837039759+0.12585431186617768j)
54,(1.2779030956135315+0.10871091049297377j)
55,(1.077137656942412+0.09333713297861834j)
56,(0.8996947547585492+0.07938594208060579j)
57,(0.7413741824721143+0.06659064992894059j)
58,(0.5989006738292417+0.054742548358433396j)
59,(0.4696804990877652+0.04367558742598021j)
60,(0.35163094065839573+0.033255636914461206j)
61,(0.24305837681393427+0.023372803735753678j)
62,(0.14256951885054292+0.013935832855878516j)
63,(0.04900571671224441+0.004867957139936152j)
64,(-0.03860639403482935-0.0038962272961704514j)
65,(-0.12109248138213502-0.01241314856667941j)
66,(-0.19915951322639813-0.020732108896062584j)
67,(-0.27341839471123563-0.02889673792282821j)
68,(-0.3444018437093703-0.03694615022664749j)
69,(-0.4125786630856787-0.04491588042878902j)
70,(-0.4783652611654432-0.05283865003828936j)
71,(-0.5421350543617933-0.06074500650507275j)
72,(-0.6042262296456826-0.06866386533786617j)
73,(-0.6649482314678465-0.07662297908085947j)
74,(-0.7245872548439962-0.08464935189149969j)
75,(-0.7834109655469561-0.09276961499940484j)
76,(-0.8416726230462785-0.1010103753907714j)
77,(-0.8996147488277444-0.10939854860018272j)
78,(-0.9574724580561558-0.11796168498098325j)
79,(-1.0154765550861526-0.12672829840726507j)
80,(-1.0738564810803908-0.13572820582737144j)
81,(-1.1328431940419215-0.14499288651995812j)
82,(-1.1926720580207082-0.15455587005283888j)
83,(-1.2535858174378482-0.16445316326448278j)
84,(-1.3158377358324493-0.17472372761735144j)
85,(-1.3796949850077382-0.18541002049460076j)
86,(-1.4454423811522652-0.19655861634217686j)
87,(-1.5133865803518738-0.2082209271098563j)
88,(-1.5838608672716141-0.22045404578950034j)
89,(-1.6572306999180881-0.2333217427117944j)
90,(-1.7339002120642881-0.24689565187628304j)
91,(-1.814319926810768-0.2612566946840289j)
92,(-1.8989960035707654-0.2764968016654734j)
93,(-1.988501433898513-0.2927210107013032j)
94,(-2.083489726847862-0.3100500443655392j)
95,(-2.1847117957083597-0.32862350151506803j)
96,(-2.293036994182561-0.3486038436728176j)
97,(-2.409479578571709-0.3701814192210833j)
98,(-2.535232336874085-0.39358085723349134j)
99,(-2.6717097891276183-0.41906928920509756j)
100,(-2.820604327026661-0.4469670411154425j)
101,(-2.983960082104943-0.47766170896482407j)
102,(-3.1642714466963717-0.5116269386928884j)
103,(-3.3646164408005816-0.5494478545512358j)
104,(-3.5888402332472182-0.5918560561561854j)
105,(-3.8418123216350075-0.6397786677287627j)
106,(-4.12979436410744-0.6944084962717056j)
107,(-4.460978525665048-0.7573067180635391j)
108,(-4.846296310254857-0.8305571637135287j)
109,(-5.300670954533988-0.9170052178736583j)
110,(-5.845025754912474-1.0206409214699441j)
111,(-6.509640226122105-1.147239187233847j)
112,(-7.340042360025901-1.3054838027375233j)
113,(-8.407995015434942-1.5090631913279111j)
114,(-9.833579628013712-1.7808831003065393j)
115,(-11.834102192958046-2.162395911767007j)
116,(-14.84747530955977-2.737137022358098j)
117,(-19.907400250694693-3.702294647285953j)
118,(-30.178905857589115-5.661629527275011j)
119,(-62.29519935905412-11.788094880280596j)
120,(975.9905622810965+186.275538651621j)
121,(55.23899909996781+10.632803034041103j)
122,(28.417283135021883+5.516293549403059j)
123,(19.123727129392876+3.7434477242211273j)
124,(14.406577086672808+2.8435869217398704j)
125,(11.552616010036722+2.2991378632578403j)
126,(9.63952630106542+1.9341595730209065j)
127,(8.267547559236437+1.6723941654368346j)
128,(7.235309707587724+1.4754287082745705j)
129,(6.430346160058118+1.3218094938910383j)
130,(5.784907280511405+1.1986130069297403j)
131,(5.255744835351241+1.0975896036776476j)
132,(4.813953928125212+1.0132257585707798j)
133,(4.439481729162935+0.9416965495186957j)
134,(4.117979560492568+0.8802651621570092j)
135,(3.8389091275337357+0.8269216350369106j)
136,(3.594356258244689+0.7801565692595851j)
137,(3.378261848069915+0.7388144241347341j)
138,(3.1859083030315567+0.7019955518245915j)
139,(3.0135676464773695+0.6689890708680615j)
140,(2.858254876666635+0.6392258173529015j)
141,(2.7175515915598822+0.6122447001398292j)
142,(2.589477583979292+0.5876682069767121j)
143,(2.4723958455484087+0.5651842836195407j)
144,(2.3649412595161756+0.5445327318029847j)
145,(2.2659663654679534+0.5254948638368226j)
146,(2.1744996103847534+0.5078855390648087j)
147,(2.089712856031909+0.4915469659714766j)
148,(2.0108958335760097+0.47634382960330157j)
149,(1.937435871948498+0.4621594249690304j)
150,(1.868801672064862+0.4488925622130644j)
151,(1.8045302149313933+0.43645506949853896j)
152,(1.744216119539617+0.424769763312689j)
153,(1.687502931830604+0.4137687870123301j)
154,(1.6340759478378715+0.40339224215620106j)
155,(1.5836562647624568+0.3935870539240405j)
156,(1.5359958215909622+0.3843060253489554j)
157,(1.4908732424289077+0.37550704463823337j)
158,(1.4480903348782554+0.3671524174598666j)
159,(1.4074691260786167+0.3592083017664187j)
160,(1.3688493424638253+0.3516442272683129j)
161,(1.3320862576772363+0.3444326850941799j)
162,(1.2970488472991981+0.33754877598861555j)
163,(1.2636182005418775+0.3309699075008403j)
164,(1.2316861481104908+0.3246755324441466j)
165,(1.201154072654223+0.31864692213158463j)
166,(1.171931874028246+0.3128669691433217j)
167,(1.1439370664168784+0.3073200152564848j)
168,(1.1170939880394464+0.3019917008234323j)
169,(1.0913331074687385+0.29686883259732966j)
170,(1.066590412926388+0.29193926735879216j)
171,(1.042806873348603+0.2871918092427208j)
172,(1.0199279614166752+0.28261611883095483j)
173,(0.9979032305303122+0.27820263263881273j)
174,(0.9766859386107711+0.2739424913947026j)
175,(0.9562327128678838+0.2698274762339796j)
176,(0.9365032503799746+0.26584995165623937j)
177,(0.9174600501195265+0.262002814528552j)
178,(0.899068172625828+0.25827944829220684j)
179,(0.8812950240177582+0.254673681847553j)
180,(0.8641101616184024+0.2511797526283388j)
181,(0.8474851185540544+0.24779227310721552j)
182,(0.8313932452783455+0.24450620074324192j)
183,(0.8158095663151066+0.24131681066315913j)
184,(0.8007106500528876+0.23821967087397056j)
185,(0.7860744908863104+0.23521061991163705j)
186,(0.7718804017907761+0.23228574634985222j)
187,(0.7581089164823034+0.22944137029476774j)
188,(0.7447417004820585+0.22667402627572386j)
189,(0.7317614693999701+0.22398044793216165j)
190,(0.7191519146116896+0.22135755375792954j)
191,(0.7068976349616509+0.21880243413988065j)
192,(0.694984074239537+0.21631233953991824j)
193,(0.6833974637301043+0.2138846694938863j)
194,(0.6721247693966568+0.2115169626454403j)
195,(0.6611536433647505+0.20920688746381444j)
