,data
0,(54.97831165875861+0j)
1,(-8.923573040845099-83.43048362210652j)
2,(49.228349193558486-30.418021666147958j)
3,(3.7129875327006943-23.588146610247808j)
4,(2.8124385447704077-17.713864079494385j)
5,(1.146021142960544-14.705214777472323j)
6,(26.422666454707404-2.248102852668699j)
7,(6.573053655149922-8.340539019879868j)
8,(5.461936763776048-7.435724237865938j)
9,(5.071210136920099-6.524556830204218j)
10,(4.875509043383299-5.729933991778006j)
11,(4.75995001129943-5.043420455017321j)
12,(4.68484079932997-4.444854182678171j)
13,(4.632875079381777-3.9162430833722084j)
14,(4.595336095823422-3.4432477637871823j)
15,(4.567377568244148-3.014672897840304j)
16,(4.546104746061452-2.6217454227811046j)
17,(4.529692932075262-2.257505824990772j)
18,(4.516944033424309-1.9163444757699202j)
19,(4.507047249748046-1.5936571480906965j)
20,(4.499442617082158-1.2855888593061575j)
21,(4.493739812703367-0.988840929333752j)
22,(4.489668347217258-0.7005226028175693j)
23,(4.487046538360892-0.41803367956306603j)
24,(4.4857623641523805-0.1389682155011308j)
25,(4.485762364152225+0.13896821550117283j)
26,(4.4870465383608575+0.4180336795630887j)
27,(4.489668347217258+0.7005226028177155j)
28,(4.493739812703348+0.9888409293337805j)
29,(4.499442617082064+1.285588859306154j)
30,(4.507047249747897+1.5936571480906325j)
31,(4.516944033424453+1.9163444757700112j)
32,(4.529692932075386+2.2575058249906617j)
33,(4.54610474606149+2.6217454227811197j)
34,(4.567377568243921+3.014672897840198j)
35,(4.595336095823593+3.4432477637871246j)
36,(4.632875079381645+3.9162430833722772j)
37,(4.684840799330145+4.44485418267824j)
38,(4.759950011299404+5.043420455017479j)
39,(4.875509043383468+5.7299339917779735j)
40,(5.07121013692009+6.524556830204115j)
41,(5.461936763775881+7.435724237866048j)
42,(6.573053655150024+8.340539019879957j)
43,(26.42266645470732+2.248102852669209j)
44,(1.1460211429604206+14.705214777472246j)
45,(2.8124385447703775+17.71386407949417j)
46,(3.7129875327006228+23.588146610247605j)
47,(49.22834919355815+30.41802166614893j)
48,(-8.923573040846664+83.43048362210537j)
