,data
0,(60+0j)
1,(-9.198197759019422e-14+1.3988810110276972e-14j)
2,(-6.999956170261612e-14-2.098321516541546e-14j)
3,(4.39648317751562e-14-3.7192471324942744e-15j)
4,(-1.3107570584480754e-13-3.6137759451548845e-14j)
5,(9.947598300641403e-14-1.829647544582258e-13j)
6,(1.5792922525292852e-13-4.708455847435289e-13j)
7,(6.750155989720952e-13+6.536993168992922e-13j)
8,(100.36959095382821+111.47172382160971j)
9,(-6.70241639966207e-13-6.865619184281968e-13j)
10,(3.703704010149522e-13-1.5276668818842154e-13j)
11,(3.1614988404982114e-13-7.127631818093505e-14j)
12,(-7.51620987671231e-14+1.1091128016005314e-13j)
13,(4.0523140398818214e-14+1.9972912213006566e-13j)
14,(-5.0959236830294685e-14+1.27675647831893e-15j)
15,(-2.6645352591003757e-14+1.4921397450962104e-13j)
16,(-8.326672684688674e-14+1.9395596240201485e-13j)
17,(-3.8952174818973617e-13+2.1155299734232358e-13j)
18,(-9.920397836538086e-13+6.705747068735946e-14j)
19,(8.559125630469566e-13-1.5604739722618888e-12j)
20,(-29.999999999999226+51.96152422706665j)
21,(-7.142619828925945e-13+1.496663903921558e-12j)
22,(-4.689582056016661e-13-8.668621376273222e-13j)
23,(1.4210854715202004e-14-4.511946372076636e-13j)
24,(1.530164883689622e-13-1.9301227283108346e-13j)
25,(1.8562928971732617e-13-1.0658141036401503e-14j)
26,(5.799527524885661e-14+9.792167077193881e-14j)
27,(-1.5160095401256513e-13-1.375566327510569e-13j)
28,(2.8727020762175925e-13-1.251776460264864e-13j)
29,(2.742805982336449e-13-2.7680635561466715e-13j)
30,(5.5067062021407764e-14-6.523818652866369e-14j)
31,(2.1199708655217364e-13-6.2727600891321345e-15j)
32,(2.2210011607626257e-13-1.202926647181357e-13j)
33,(1.3994361225400098e-13+1.1995959781074816e-13j)
34,(1.1593503934648197e-13-7.993605777301127e-14j)
35,(2.327027459614328e-13+1.0302869668521453e-13j)
36,(2.4030777368011513e-13+9.153788838034416e-14j)
37,(-9.237055564881302e-14+2.7711166694643907e-13j)
38,(-3.517186542012496e-13+9.556799795973347e-13j)
39,(-8.753553437657047e-13-1.4487300248333668e-12j)
40,(-29.999999999999034-51.9615242270673j)
41,(5.645484080218921e-13+1.234651270110021e-12j)
42,(-1.1319278847565784e-12-7.260858581048524e-14j)
43,(-7.91033905045424e-14-1.2234657731369225e-13j)
44,(3.1058489113888754e-13-3.2412961203931445e-13j)
45,(-3.6415315207705135e-13+4.085620730620576e-14j)
46,(5.3179682879545e-14-3.694822225952521e-13j)
47,(4.711231404996852e-13+1.2989609388114332e-13j)
48,(-1.5298873279334657e-13-4.365952044338428e-13j)
49,(2.9561075809425574e-13-4.286293542321573e-13j)
50,(9.272582701669307e-13-1.0302869668521453e-13j)
51,(-4.141131881851834e-14+6.740719094011638e-13j)
52,(100.36959095382912-111.4717238216088j)
53,(7.069900220812997e-13-6.465938895416912e-13j)
54,(1.2276291094792668e-13+4.443667656062189e-13j)
55,(1.2079226507921703e-13-1.412203687323199e-13j)
56,(-5.542927228319172e-13-3.36952687973735e-14j)
57,(4.942712905631197e-13-2.959299472138355e-13j)
58,(3.022027073029676e-13+5.695444116327053e-14j)
59,(5.284661597215745e-14-2.06584749307126e-13j)
