,data
0,(4.922640073345974e-11+0j)
1,(-1.3420731193036772e-10+2.1816504158778116e-10j)
2,(-2.4419932742603123e-10+4.948788046021946e-10j)
3,(-1.7932961782207713e-09-2.9103830456733704e-10j)
4,(7499.7368120885285+62.831118108922055j)
5,(1.6393641999457031e-09-2.2328094928525388e-10j)
6,(2.830802259268239e-11+4.90899765281938e-10j)
7,(-5.707079253625125e-11+2.503384166629985e-10j)
8,(-1.3528733688872308e-10+5.115907697472721e-12j)
9,(-6.298250809777528e-11-8.640199666842818e-12j)
10,(5.9685589803848416e-12-4.547473508864641e-12j)
11,(-2.0122570276726037e-11+2.9672264645341784e-11j)
12,(-7.824496606190223e-11+8.404299478570465e-11j)
13,(-1.1263523447269108e-10+6.252776074688882e-11j)
14,(-1.8326318240724504e-10-1.7706724975141697e-11j)
15,(-8.897416137187975e-11+1.432454155292362e-11j)
16,(7.958789183248882e-11+1.290345608140342e-11j)
17,(-1.2525447345979046e-10+4.6134118747431785e-10j)
18,(-2.795843556668842e-10+9.623590813134797e-10j)
19,(-3.4056029107887298e-09-6.306208888418041e-10j)
20,(2997.3684902967098+125.62696118394733j)
21,(3.389573066669982e-09-3.376499080331996e-10j)
22,(1.2744294508593157e-10+9.919176591210999e-10j)
23,(1.659827830735594e-11+4.5440629037329927e-10j)
24,(-1.3953638244856847e-10-1.3301360013429075e-11j)
25,(5.2864379540551454e-11+2.3590018827235326e-11j)
26,(1.3039880286669359e-10+7.219114195322618e-12j)
27,(3.001332515850663e-11+8.833467290969566e-11j)
28,(1.0508927061891882e-11+6.053824108676054e-11j)
29,(-2.879119165299926e-11-1.261923898709938e-11j)
30,(8.455458555545192e-12+5.684341886080802e-14j)
31,(2.9459101824613754e-11-2.0747847884194925e-12j)
32,(-8.256506589532364e-12+3.581135388230905e-11j)
33,(-1.5660361896152608e-11+2.688693712116219e-11j)
34,(-3.278444182797102e-11-9.947598300641403e-12j)
35,(-1.0615508472255897e-11+3.0127011996228248e-12j)
36,(4.087397087459976e-12+8.881784197001252e-13j)
37,(-1.5859313862165436e-11+2.523847797419876e-11j)
38,(-2.2140511646284722e-11+2.0236257114447653e-11j)
39,(-3.61666252501891e-11-6.224354365258478e-12j)
40,(-1.8985701899509877e-11-6.536993168992922e-13j)
41,(-4.447997525858227e-12-1.9895196601282805e-12j)
42,(-3.0318858534883475e-11+2.518163455533795e-11j)
43,(-3.5214497984270565e-11+2.333422344236169e-11j)
44,(-5.616485054815712e-11-6.338041202980094e-12j)
45,(-3.1661784305470064e-11+1.6484591469634324e-12j)
46,(-6.743050562363351e-12+1.5631940186722204e-13j)
47,(-3.950617610826157e-11+3.952038696297677e-11j)
48,(-4.703082367996103e-11+4.0685677049623337e-11j)
49,(-8.663647577122902e-11-2.0094148567295633e-11j)
50,(-4.950351240040618e-11-8.29913915367797e-12j)
51,(-7.212008767965017e-12-1.4637180356658064e-11j)
52,(-8.327383227424434e-11+8.274980700662127e-11j)
53,(-1.163122931302496e-10+1.1091572105215164e-10j)
54,(-2.406004284694063e-10-3.537792281349539e-11j)
55,(-1.2144241168243752e-10+1.7422507880837657e-11j)
56,(1.580957587066223e-10+1.9237944570704713e-11j)
57,(-1.9397106143514975e-10+6.490843418305303e-10j)
58,(-4.861249180976301e-10+1.4179306617734255e-09j)
59,(-4.97303176416608e-09-1.358728241029894e-09j)
60,(1488.1720519724038+187.9998503410178j)
61,(5.149672688276041e-09-8.29913915367797e-11j)
62,(1.1652900866465643e-10+1.4964598449296318e-09j)
63,(1.674038685450796e-11+6.918980943737552e-10j)
64,(-1.6203927089009085e-10-3.2088109946926124e-11j)
65,(1.1468159755168017e-10+4.5645265345228836e-11j)
66,(2.362838813496637e-10+2.6403768060845323e-11j)
67,(7.953815384098561e-11+1.3207568372308742e-10j)
68,(6.354738957270456e-11+9.92486093309708e-11j)
69,(6.110667527536862e-12-1.361399881716352e-11j)
70,(5.3574922276311554e-11+5.087485988042317e-12j)
71,(8.533618256478803e-11+3.694822225952521e-12j)
72,(3.5562663924793014e-11+4.3144154915353283e-11j)
73,(2.845013113983441e-11+4.126832209294662e-11j)
74,(1.226396761921933e-11+1.5063505998114124e-12j)
75,(3.33386651618639e-11+9.194423000735696e-12j)
76,(4.995115432393504e-11+9.528378086542943e-12j)
77,(3.0034641440579435e-11+2.674482857401017e-11j)
78,(2.7114310796605423e-11+2.4243718144134618e-11j)
79,(1.376321279167314e-11+2.0037305148434825e-12j)
80,(2.248512487312837e-11+3.112177182629239e-12j)
81,(3.359446054673754e-11+3.950617610826157e-12j)
82,(2.3778312652211753e-11+1.6356693777197506e-11j)
83,(1.6065371255535865e-11+1.716671249596402e-11j)
84,(1.4225065569917206e-11+3.915090474038152e-12j)
85,(1.7628565274208086e-11+5.5848659030743875e-12j)
86,(2.6354030069342116e-11+1.9895196601282805e-12j)
87,(1.8353318864683388e-11+1.3429257705865894e-11j)
88,(1.4868106745780096e-11+8.881784197001252e-12j)
89,(1.226396761921933e-11+4.234834705130197e-12j)
90,(1.2541079286165768e-12+1.5205614545266144e-12j)
91,(1.617905809325748e-11+1.06439301816863e-11j)
92,(1.425171092250821e-11+8.043343768804334e-12j)
93,(1.1972645097557688e-11+8.824940778140444e-12j)
94,(1.0388134796812665e-11+1.1368683772161603e-12j)
95,(5.9117155615240335e-12-8.242295734817162e-13j)
96,(1.5713652601334616e-11+5.229594535194337e-12j)
97,(8.775202786637237e-12+5.286437954055145e-12j)
98,(9.773515330380178e-12+3.936406756110955e-12j)
99,(8.995471034722868e-12-1.9895196601282805e-13j)
100,(1.0910383707596338e-11+1.0302869668521453e-12j)
101,(1.2985168496015831e-11+2.9984903449076228e-12j)
