,data
0,(-1.3318768310455198e-10+0j)
1,(-1.3536016751913849e-10-2.4797941478027496e-12j)
2,(-1.419060424723284e-10-3.694822225952521e-12j)
3,(-1.489723899794626e-10-2.1742607714259066e-12j)
4,(-1.5828760524527752e-10-6.16751094639767e-12j)
5,(-1.8413004454487236e-10-2.0037305148434825e-11j)
6,(-2.517879238439491e-10-4.058620106661692e-11j)
7,(-4.746993909066077e-10-7.037215254968032e-11j)
8,(2496.842391515014+125.61079544858208j)
9,(3.340687726449687e-10-2.9672264645341784e-11j)
10,(1.1038991942768916e-10-2.404476617812179e-11j)
11,(3.8824055081931874e-11-1.2278178473934531e-11j)
12,(9.990230864787009e-12-2.5579538487363607e-12j)
13,(-3.126388037344441e-12-3.410605131648481e-13j)
14,(-1.0700773600547109e-11-2.1032064978498966e-12j)
15,(-2.0762058738910127e-11-3.979039320256561e-12j)
16,(-2.7892355092262733e-11-4.988010005035903e-12j)
17,(-3.411315674384241e-11-5.172751116333529e-12j)
18,(-3.8191672047105385e-11-4.220623850414995e-12j)
19,(-4.122568952880101e-11-5.258016244624741e-12j)
20,(-4.483524662646232e-11-6.195932655828074e-12j)
21,(-4.845901457883883e-11-7.460698725481052e-12j)
22,(-5.2374105052876985e-11-8.768097359279636e-12j)
23,(-5.5148774436020176e-11-8.071765478234738e-12j)
24,(-5.839773109528323e-11-9.348521956553668e-12j)
25,(-6.194511570356553e-11-1.0267342531733448e-11j)
26,(-6.460076917846891e-11-1.163158458439284e-11j)
27,(-6.989253620304225e-11-1.4480860954790842e-11j)
28,(-7.435296822677628e-11-1.7823964526542113e-11j)
29,(-8.055422995312256e-11-1.5567991340503795e-11j)
30,(-8.625455905075796e-11-1.6576962025283137e-11j)
31,(-9.183587224015355e-11-1.9522161665008753e-11j)
32,(-1.0146727902338171e-10-2.5091928534948238e-11j)
33,(-1.1572254265956872e-10-2.930988785010413e-11j)
34,(-1.36152422669511e-10-3.3429259360673313e-11j)
35,(-1.5270096298536373e-10-3.4001246262960194e-11j)
36,(-1.7713119859763538e-10-4.5286441263669985e-11j)
37,(-2.2536639221470978e-10-8.379430482818861e-11j)
38,(-3.5627323313747183e-10-1.511466507508885e-10j)
39,(-7.814975333531038e-10-2.973479240608867e-10j)
40,(968.5831611290262+248.68988716322178j)
41,(7.835581072868081e-10+1.0504663805477321e-10j)
42,(3.4012970218100236e-10+2.702904566831421e-11j)
43,(1.9261392480984796e-10+2.3732127374387346e-11j)
44,(1.3181988833821379e-10+3.1320723792305216e-11j)
45,(1.0616929557727417e-10+3.085176558670355e-11j)
46,(8.820677521725884e-11+2.3462121134798508e-11j)
47,(7.215561481643817e-11+1.681144112808397e-11j)
48,(5.7347904203197686e-11+1.2441603303159354e-11j)
49,(4.7258197355404263e-11+1.4267698134062812e-11j)
50,(3.9264591578103136e-11+1.283950723518501e-11j)
51,(3.5065284009760944e-11+1.2228440482431324e-11j)
52,(3.070255161219393e-11+9.684697488410166e-12j)
53,(2.5192292696374352e-11+7.169376203819411e-12j)
54,(1.871924837359984e-11+1.057287590811029e-11j)
55,(1.8768986365103046e-11+7.716494110354688e-12j)
56,(1.5504042494285386e-11+2.7542412794900883e-12j)
57,(1.3558931755142112e-11+3.502975687297294e-12j)
58,(1.0242473535981844e-11+3.929301328753354e-12j)
59,(9.244160992238903e-12+2.1458390619955026e-12j)
60,(6.156852805361268e-12+2.8705926524708048e-12j)
61,(4.586553359331447e-12+1.5916157281026244e-12j)
62,(2.547295707699959e-12+1.3073986337985843e-12j)
63,(1.5401013797600172e-12+2.6787461138155777e-12j)
64,(5.258016244624741e-13-3.730349362740526e-14j)
65,(-2.220446049250313e-13-1.3500311979441904e-12j)
66,(-1.1226575225009583e-12+7.105427357601002e-14j)
67,(-4.948930154569098e-12-5.9543481256696396e-12j)
68,(-4.035882739117369e-12-2.453148795211746e-12j)
69,(-6.572520305780927e-12-3.737454790098127e-12j)
70,(-6.863842827442568e-12-2.9736213491560193e-12j)
71,(-6.87805368215777e-12-4.931166586175095e-12j)
72,(-7.226219622680219e-12-3.4230396295242826e-12j)
73,(-1.078337419357922e-11-3.240074875066057e-12j)
74,(-9.450218385609332e-12-6.66489086142974e-12j)
75,(-1.120348258609738e-11-6.352252057695296e-12j)
76,(-1.092281820547214e-11-3.915090474038152e-12j)
77,(-1.2247092229245027e-11-6.657785434072139e-12j)
78,(-1.333333443653828e-11-6.689759857181343e-12j)
79,(-1.4074075238568184e-11-9.382716825712123e-12j)
80,(-1.531752502614836e-11-8.217426739065559e-12j)
81,(-1.7051249301403004e-11-1.0064837852041819e-11j)
82,(-1.878319721981825e-11-1.042543829044007e-11j)
83,(-1.560884754781e-11-1.1663559007502045e-11j)
84,(-1.7410073382961855e-11-8.704148513061227e-12j)
85,(-2.099920237697006e-11-1.1709744285326451e-11j)
86,(-2.0378365661599673e-11-1.326583287664107e-11j)
87,(-2.1518786752494634e-11-1.4523493518936448e-11j)
88,(-2.2598811710849986e-11-1.5488055282730784e-11j)
89,(-2.6215474235868896e-11-1.2871481658294215e-11j)
