,data
0,(0.023911153944254693+0j)
1,(0.02391286132467485+0.00011656685103389464j)
2,(0.023917987550930775+0.0002331755111057987j)
3,(0.023926533671897232+0.00034986628321576063j)
4,(0.023938503937870337+0.00046667964193858325j)
5,(0.023953904911081736+0.0005836582140545943j)
6,(0.02397274251484305+0.0007008431655322056j)
7,(0.02399502907189799+0.0008182742914755181j)
8,(0.02402077422709681+0.0009359951673104661j)
9,(0.02404998850352058+0.0010540485894807716j)
10,(0.024082691865146444+0.0011724744399259635j)
11,(0.024118893632362415+0.0012913161609731105j)
12,(0.024158619449622165+0.001410618118285356j)
13,(0.02420188353323738+0.0015304205408028793j)
14,(0.024248711816426294+0.0016507702494834575j)
15,(0.024299124060235044+0.0017717095585680909j)
16,(0.02435314903266317+0.0018932842853018883j)
17,(0.024410811574853142+0.0020155379012862795j)
18,(0.024472143256730305+0.0021385171377232837j)
19,(0.02453717398589106+0.002262267138860352j)
20,(0.024605938764239+0.0023868362430334855j)
21,(0.024678471261950108+0.002512271786827114j)
22,(0.024754809945761735+0.002638622218000819j)
23,(0.024834993721015053+0.0027659358210030405j)
24,(0.024919064881714803+0.002894262885831722j)
25,(0.025007066071339068+0.003023654064350012j)
26,(0.025099046037666994+0.0031541608194061155j)
27,(0.025195051069658803+0.0032858365028118897j)
28,(0.025295133860936403+0.0034187326300525456j)
29,(0.025399346509857423+0.003552906660502231j)
30,(0.025507744720243863+0.0036884145655449174j)
31,(0.025620387148137524+0.003825308523687454j)
32,(0.025737337455439047+0.003963652891684433j)
33,(0.025858653934164977+0.004103500888788858j)
34,(0.025984407758642192+0.004244920280257247j)
35,(0.026114667706906403+0.004387966477224836j)
36,(0.026249501700021938+0.004532708543422359j)
37,(0.026388992227566632+0.004679206995774621j)
38,(0.026533211371543075+0.004827532154081382j)
39,(0.02668224487115367+0.004977751790875118j)
40,(0.026836175597509282+0.005129934275373671j)
41,(0.02699509310355097+0.005284153734919528j)
42,(0.027159088786675056+0.005440483315055644j)
43,(0.027328258190436827+0.0055989996603784675j)
44,(0.027502701653929762+0.005759780164225958j)
45,(0.027682521114456904+0.005922905081092722j)
46,(0.027867825882822217+0.006088458449312384j)
47,(0.028058725648406835+0.006256523312117679j)
48,(0.02825533734767305+0.006427189358873875j)
49,(0.02845778200935456+0.006600544411185183j)
50,(0.028666183661016476+0.006776683626867452j)
51,(0.02888067288199636+0.00695570119637523j)
52,(0.02910138570859999+0.007137696951303951j)
53,(0.029328460194165018+0.007322772026441271j)
54,(0.02956204426232034+0.007511031981266569j)
55,(0.029802287845541287+0.00770258557008674j)
56,(0.030049349789351254+0.007897543960552866j)
57,(0.030303392335554236+0.00809602381843888j)
58,(0.030564586072159727+0.008298145702838156j)
59,(0.030833105887722922+0.008504031829829728j)
60,(0.031109137827343147+0.008713812069231608j)
61,(0.031392868753755465+0.008927616480491452j)
62,(0.03168450026601022+0.009145585936835232j)
63,(0.03198423576827736+0.009367859008875712j)
64,(0.03229229142425538+0.009594585975264636j)
65,(0.032608886136358706+0.009825917327134448j)
66,(0.03293425681840745+0.010062011798709136j)
67,(0.033268639021343915+0.010303035983270092j)
68,(0.03361228634230429+0.010549155926128151j)
69,(0.03396545754731051+0.010800550950079923j)
70,(0.0343284252585363+0.01105740632101515j)
71,(0.034701470106710985+0.01131990898238655j)
72,(0.035084888545725335+0.011588260140342754j)
73,(0.03547898388524118+0.011862663704050647j)
74,(0.0358840777032583+0.012143336255348913j)
75,(0.03630049970934124+0.012430497899913462j)
76,(0.036728598677427726+0.012724383779641357j)
77,(0.037168733044609326+0.013025231971823814j)
78,(0.03762128123889852+0.013333296961718588j)
79,(0.038086633963075656+0.013648838338212954j)
80,(0.038565203522921365+0.01397213196219127j)
81,(0.039057416622199526+0.014303460060773432j)
82,(0.039563717936516696+0.014643122339293768j)
83,(0.040084574368847825+0.014991426507549477j)
84,(0.040620475141167844+0.015348698424986651j)
85,(0.041171925843173085+0.015715274134890933j)
86,(0.04173946126275041+0.016091509657144343j)
87,(0.04232363489245472+0.016477771236623084j)
88,(0.04292503142778514+0.016874448808266607j)
89,(0.04354425772908144+0.017281943055422744j)
90,(0.04418195341622777+0.017700680235293476j)
91,(0.04483878567020838+0.018131099948050178j)
92,(0.04551545393428569+0.018573670377463714j)
93,(0.04621269094195668+0.019028874634614112j)
94,(0.046931267078889505+0.019497224009228376j)
95,(0.04767198718400323+0.01997925341993323j)
96,(0.04843570078992343+0.020475525199344702j)
97,(0.049223294694456854+0.020986629732306028j)
98,(0.05003570219037101+0.021513185866751883j)
99,(0.05087390764470001+0.022055844034866823j)
100,(0.05173894013205427+0.022615294349634496j)
101,(0.05263188603180424+0.023192250271904413j)
102,(0.05355388857742582+0.023787478181930055j)
103,(0.05450615104632561+0.024401773232511914j)
104,(0.0554899409837617+0.025035981570681543j)
105,(0.056506593435869945+0.02569098868184483j)
106,(0.05755751897186201+0.026367737347300135j)
107,(0.058644205002565286+0.02706721046297389j)
108,(0.05976822228990386+0.02779046590512735j)
109,(0.06093122967376985+0.028538598185605224j)
110,(0.06213498430247455+0.02931278655614733j)
111,(0.06338133763006226+0.03011426111606852j)
112,(0.0646722583085193+0.03094434258855472j)
113,(0.06600982636587105+0.03180441136328227j)
114,(0.06739624905185337+0.03269595353913246j)
115,(0.06883386166373384+0.03362051974045244j)
116,(0.0703251524978441+0.0345797849504379j)
117,(0.07187275702995066+0.03557550633604478j)
118,(0.07347947974471936+0.036609572521228984j)
119,(0.07514830193076705+0.037683972012018785j)
120,(0.0768824022343324+0.0388008470135901j)
121,(0.07868515989093794+0.039962458741683804j)
122,(0.0805601846504942+0.04117124025924568j)
123,(0.08251132456553023+0.04242977078592958j)
124,(0.08454269375806689+0.04374082781987454j)
125,(0.08665868689104173+0.04510735908479546j)
126,(0.08886400776555092+0.046532548564755416j)
127,(0.0911636952741901+0.04801977905935928j)
128,(0.09356315024569994+0.04957270895738475j)
129,(0.09606816799168882+0.05119524002702747j)
130,(0.09868497635852691+0.05289159270887467j)
131,(0.10142026858375175+0.05466628254907846j)
132,(0.10428125796352106+0.05652420345950304j)
133,(0.10727570819608445+0.05847060218366096j)
134,(0.11041200217732694+0.06051117352899382j)
135,(0.11369919417938945+0.06265204801411528j)
136,(0.11714707707415073+0.06489988698513116j)
137,(0.12076625600411717+0.0672618848698221j)
138,(0.12456822709555126+0.06974586898832058j)
139,(0.1285654862344927+0.07236032781111135j)
140,(0.13277159791232407+0.07511452095468485j)
141,(0.13720135272797052+0.07801850541909516j)
142,(0.14187087067784887+0.08108329838614736j)
143,(0.14679776293269242+0.0843209020517861j)
144,(0.15200128905507881+0.08774449323664157j)
145,(0.1575025623114925+0.09136848531670694j)
146,(0.1633247484542153+0.09520875388989225j)
147,(0.1694933344610945+0.09928272647448466j)
148,(0.17603638725904602+0.10360966191728949j)
149,(0.1829849018722598+0.10821079157904023j)
150,(0.19037314898559998+0.11310966514793108j)
151,(0.19823912719357395+0.1183323586201368j)
152,(0.20662503983749048+0.12390790996869328j)
153,(0.21557788506743236+0.12986862585330528j)
154,(0.22515011295672593+0.1362506478344585j)
155,(0.23540041346223006+0.1430943847326489j)
156,(0.2463946256084455+0.15044527344798553j)
157,(0.2582068237979911+0.15835439835700527j)
158,(0.2709205744886276+0.16687950153755082j)
159,(0.2846304530321504+0.17608593007480522j)
160,(0.29944381079167215+0.18604796656291j)
161,(0.31548298178222467+0.19685025109083654j)
162,(0.33288775728033215+0.2085896775688525j)
163,(0.35181861007094994+0.2213774402243871j)
164,(0.3724603607361132+0.23534182573166618j)
165,(0.3950269081205988+0.25063128038254945j)
166,(0.41976678161699965+0.26741855758973543j)
167,(0.44697026144604024+0.2859054244308936j)
168,(0.476978006250647+0.3063289993569924j)
169,(0.5101921097984814+0.32896919481208897j)
170,(0.5470898348703486+0.35415866771290894j)
171,(0.5882413786957841+0.3822949432505993j)
172,(0.6343324608023977+0.4138566199435445j)
173,(0.6861939534664998+0.44942378716223175j)
174,(0.7448404792685324+0.4897055404544517j)
175,(0.8115220281542861+0.5355757886409265j)
176,(0.887792991013157+0.58812225485417j)
177,(0.9756067492944567+0.6487124339328147j)
178,(1.0774461841938319+0.7190859228576301j)
179,(1.1965079709225392+0.8014834213172435j)
180,(1.336966410293826+0.8988330264746764j)
181,(1.5043606765757431+1.0150219825263775j)
182,(1.7061750082320941+1.1553059096404468j)
183,(1.9527337968065694+1.3269380066230951j)
184,(2.258623338299003+1.5401712895836681j)
185,(2.645035586770973+1.8099080248794053j)
186,(3.143794673756929+2.1585374213245814j)
187,(3.8046359882755496+2.621062022390106j)
188,(4.709190027122531+3.2549522493281984j)
189,(5.999979463675118+4.160576616981416j)
190,(7.946700478070852+5.5279135967139155j)
191,(11.118817486847547+7.758188066000002j)
192,(16.926072711110464+11.844854006187234j)
193,(29.878426925090025+20.96671353878628j)
194,(74.0969646366575+52.128989133037976j)
195,(-204353.8928140521-144102.32740263475j)
196,(407979.1028108704+288651.68033370737j)
197,(-203883.24254576984-144731.4317475377j)
198,(135.6318834845806+97.24407056818018j)
199,(-202509.915546467-146646.84809083876j)
200,(404319.8051386351+293755.4016500338j)
201,(-202065.14410435373-147294.507196631j)
202,(73.15416048641782+53.44379570095043j)
203,(29.448752526514+21.565810520056402j)
204,(16.652462353325973+12.226248489008867j)
205,(10.918170895987714+8.03778206006973j)
206,(7.787794485473569+5.749254684102198j)
207,(5.867988525737019+4.344342417389271j)
208,(4.595986426742456+3.4124786029860843j)
209,(3.7053035861572425+2.7592056465036876j)
210,(3.0551386596089287+2.2817541147778684j)
211,(2.564863325042097+1.9212559280604182j)
212,(2.185363978476744+1.6418412381499365j)
213,(1.885222526096186+1.4205546202756523j)
