,data
0,(-5.820766091346741e-11+0j)
1,(3.319655661471188e-11-5.991296347929165e-11j)
2,(3749.8684060442274+31.415559055583515j)
3,(-1.6541434888495132e-10-9.367795428261161e-11j)
4,(-3.313971319585107e-11-5.991296347929165e-11j)
5,(-1.858779796748422e-11-2.4499513529008254e-11j)
6,(-6.093614501878619e-11-1.7848833522293717e-11j)
7,(-9.208633855450898e-11-5.4654947234666906e-11j)
8,(-3.7196912217041245e-11-1.1795009413617663e-10j)
9,(2.1151436158106662e-10-1.6854073692229576e-10j)
10,(1498.6842451482541+62.813480594179225j)
11,(-2.376623342570383e-10-1.8269474821863696e-10j)
12,(1.1368683772161603e-13-1.141415850725025e-10j)
13,(5.402966962719802e-11-5.121592039358802e-11j)
14,(3.7971403799019754e-11-1.3528733688872308e-11j)
15,(4.959588295605499e-12-2.4442670110147446e-12j)
16,(-1.4701129202876473e-11-7.560174708487466e-12j)
17,(-1.1013412404281553e-11-1.3812950783176348e-11j)
18,(-5.4072302191343624e-12-1.1652900866465643e-11j)
19,(-4.050093593832571e-12-4.263256414560601e-12j)
20,(-1.447375552743324e-11-6.536993168992922e-13j)
21,(-2.6787461138155777e-11-5.4853899200679734e-12j)
22,(-2.8100188842472562e-11-1.4480860954790842e-11j)
23,(-1.5646151041437406e-11-1.7635670701565687e-11j)
24,(-1.0977885267493548e-11-9.29389898374211e-12j)
25,(-3.701927653310122e-11-7.148059921746608e-12j)
26,(-8.43556335894391e-11-3.043965079996269e-11j)
27,(-1.028155338644865e-10-9.175948889605934e-11j)
28,(-4.433786671143025e-12-1.7345058722639806e-10j)
29,(3.674500703709782e-10-2.1594814825220965e-10j)
30,(744.0860259857857+93.99992517379656j)
31,(-3.0405544748646207e-10-2.9979219107190147e-10j)
32,(4.519051799434237e-11-1.702176177786896e-10j)
33,(1.1949907730013365e-10-6.340883373923134e-11j)
34,(9.330847206001636e-11-5.9401372709544376e-12j)
35,(3.7843506106582936e-11+2.6432189770275727e-12j)
36,(1.5727863456049818e-11-6.87805368215777e-12j)
37,(2.0513368781394092e-11-1.2036593943776097e-11j)
38,(2.9334756845855736e-11-5.5422333389287814e-12j)
39,(2.7675639557855902e-11+1.7053025658242404e-12j)
40,(1.936939497682033e-11+2.8848035071860068e-12j)
41,(1.2615686273420579e-11-7.105427357601002e-14j)
42,(1.6076029396572267e-11-1.1013412404281553e-12j)
43,(1.6697754290362354e-11-1.2221335055073723e-12j)
44,(1.5848655721129035e-11-6.963318810448982e-13j)
45,(1.2072121080564102e-11+2.0037305148434825e-12j)
46,(8.677503160470224e-12+7.460698725481052e-13j)
47,(1.0878409284487134e-11-3.979039320256561e-13j)
48,(1.2281731187613332e-11+5.258016244624741e-13j)
49,(9.723777338876971e-12+1.2505552149377763e-12j)
50,(8.885336910680053e-12+1.7479351299698465e-12j)
51,(2.7000623958883807e-13+4.121147867408581e-13j)
52,(6.476597036453313e-12-3.694822225952521e-13j)
53,(6.0751403907488566e-12+3.808509063674137e-12j)
54,(6.831868404333363e-12-4.476419235288631e-13j)
55,(5.8975047068088315e-12+1.1937117960769683e-12j)
56,(5.115907697472721e-12+1.3002932064409833e-12j)
57,(6.956213383091381e-12+3.410605131648481e-12j)
58,(5.53157519789238e-12+1.3535839116229909e-12j)
59,(5.329070518200751e-12+6.039613253960852e-13j)
60,(4.369837824924616e-12+1.4850343177386094e-12j)
61,(4.579447931973846e-12+3.0482283364108298e-12j)
62,(3.355538069627073e-12+1.2505552149377763e-12j)
63,(4.46576109425223e-12-6.394884621840902e-14j)
64,(4.973799150320701e-12-3.694822225952521e-13j)
65,(4.256150987203e-12-6.750155989720952e-13j)
66,(8.384404281969182e-13+3.1370461783808423e-12j)
67,(3.7339020764193265e-12-4.121147867408581e-13j)
68,(1.0238920822303044e-11-1.3002932064409833e-12j)
69,(4.0962788716569776e-12+1.5347723092418164e-12j)
70,(2.0694557179012918e-12+2.0445867221496883e-12j)
71,(2.597033699203166e-12+1.4495071809506044e-12j)
72,(1.2683187833317788e-12+2.4087398742267396e-12j)
73,(4.458655666894629e-12+3.197442310920451e-13j)
74,(3.247180302423658e-12-4.3520742565306136e-13j)
75,(2.5153212845907547e-12+2.4371615836571436e-12j)
76,(1.2541079286165768e-12+4.476419235288631e-13j)
77,(1.8616219676914625e-12+1.9326762412674725e-12j)
78,(1.687538997430238e-13+3.625544309215911e-12j)
79,(4.796163466380676e-12+1.0729195309977513e-12j)
80,(7.329248319365433e-12+3.815614491031738e-12j)
81,(1.5631940186722204e-12-6.963318810448982e-13j)
82,(3.2009950245992513e-12-5.897504706808832e-13j)
83,(-5.623945753541193e-12-2.3590018827235326e-12j)
84,(-1.5134560271690134e-12+1.2931877790833823e-12j)
85,(-4.877875880993088e-12-6.252776074688882e-13j)
86,(-3.836930773104541e-13-1.0409451078885468e-12j)
87,(1.8829382497642655e-12-3.126388037344441e-13j)
88,(3.664624159682717e-12+6.465938895416912e-13j)
89,(1.7621459846850485e-12-2.0605739337042905e-13j)
90,(2.0961010704922955e-13+2.6272317654729704e-12j)
91,(8.260059303211165e-12-1.6910917111090384e-12j)
92,(-2.0961010704922955e-13-2.0392576516314875e-12j)
93,(-5.400124791776761e-13+1.7763568394002505e-12j)
94,(4.920508445138694e-13-3.730349362740526e-14j)
95,(-2.0250467969162855e-12+1.0018652574217413e-12j)
96,(-5.506706202140776e-13+1.3002932064409833e-12j)
97,(-5.933031843596837e-13-3.183231456205249e-12j)
98,(9.231726494363102e-12-7.105427357601002e-15j)
99,(6.394884621840902e-14+3.097966327914037e-12j)
100,(4.1744385725905886e-13-1.1368683772161603e-13j)
101,(1.2398970739013748e-12-7.638334409421077e-13j)
102,(-1.77280412572145e-12+4.630962280316453e-12j)
103,(2.1955770534987096e-12+2.568611989772762e-12j)
104,(8.952838470577262e-13-1.1901590823981678e-13j)
105,(1.3997691894473974e-12+5.897504706808832e-13j)
106,(2.2737367544323206e-13-7.7982065249671e-13j)
107,(2.1316282072803006e-12+2.3092638912203256e-13j)
108,(1.5987211554602254e-14-1.5401013797600172e-12j)
109,(4.831690603168681e-13+1.1226575225009583e-12j)
110,(8.526512829121202e-14-2.682298827494378e-13j)
111,(-7.744915819785092e-13+1.7195134205394424e-12j)
112,(-3.113953539468639e-12+1.085354028873553e-12j)
113,(3.623767952376511e-13-2.5153212845907547e-12j)
114,(-3.4159342021666816e-12+4.900968519905291e-12j)
115,(-3.396394276933279e-12-1.552535877635819e-12j)
116,(1.0693668173189508e-12-9.681144774731365e-13j)
117,(-3.623767952376511e-13+1.0231815394945443e-12j)
118,(-9.592326932761353e-14+7.709388682997087e-13j)
119,(-7.190692485892214e-12+9.759304475664976e-12j)
120,(-7.531752999057062e-13-2.348343741687131e-12j)
121,(3.836930773104541e-13+3.0375701953744283e-12j)
