,data
0,(-2.311040248059726e-12+0j)
1,(-2.0552448631860898e-12-3.0375701953744283e-13j)
2,(-2.0872192862952943e-12-1.5698553568199713e-13j)
3,(-2.0605739337042905e-12-2.611244553918368e-13j)
4,(-2.639666263348772e-12-6.394884621840902e-13j)
5,(-2.944311461305915e-12-1.0551559626037488e-12j)
6,(-2.8030910925735952e-12-1.3251622021925868e-12j)
7,(-4.575895218295045e-12-4.760636329592671e-12j)
8,(219.07667001096755+120.43841852542249j)
9,(3.780087354243733e-12-5.115907697472721e-13j)
10,(-6.039613253960852e-14-3.126388037344441e-13j)
11,(-4.263256414560601e-13-2.6290081223123707e-13j)
12,(-7.132072710192006e-13-9.876544027065393e-13j)
13,(-8.633094239485217e-13-1.2958523143424827e-12j)
14,(-1.1617373729677638e-12-1.4264145420384011e-12j)
15,(-1.2541079286165768e-12-1.9113599591946695e-12j)
16,(-1.4388490399142029e-12-2.6627589022609754e-12j)
17,(-2.225775119768514e-12-3.922195901395753e-12j)
18,(-1.70174985214544e-12-4.7126746949288645e-12j)
19,(1.3287149158713873e-12-1.6044054973463062e-11j)
20,(15.450849718766339+47.55282581475127j)
21,(1.0334844091630657e-11+1.1722622872412103e-11j)
22,(1.291411422243982e-12+4.119371510569181e-12j)
23,(9.610090501155355e-13+3.83248988100604e-12j)
24,(8.313350008393172e-13+2.9416469260468148e-12j)
25,(-3.930189507173054e-13+2.0459189897792385e-12j)
26,(2.948752353404416e-13+1.765698698363849e-12j)
27,(5.5067062021407764e-14+1.5281109710940655e-12j)
28,(-5.861977570020827e-14+1.1528555887707626e-12j)
29,(4.3920422854171193e-13+7.429612480791548e-13j)
30,(-1.412203687323199e-13+4.2810199829546036e-13j)
31,(5.706546346573305e-13+8.522071937022702e-13j)
32,(-1.7763568394002505e-14-1.6342482922482304e-13j)
33,1.0835776720341528e-13j
34,(2.8954616482224083e-13+1.7763568394002505e-14j)
35,(7.576161920042068e-13-6.430411758628907e-13j)
36,(8.064660050877137e-13-5.03597163969971e-13j)
37,(1.5489831639570184e-12-4.227729277772596e-13j)
38,(2.0943247136528953e-12-1.056488230233299e-12j)
39,(9.972467296393006e-12-1.1439738045737613e-12j)
40,(-80.90169943748839+58.77852522925869j)
41,(-6.622258297284134e-12+9.57101065068855e-12j)
42,(-3.9683811792201595e-12+2.1866952693017083e-12j)
43,(-3.5704772471945034e-12+1.2096990076315706e-12j)
44,(-2.7542412794900883e-12+1.3065104553788842e-12j)
45,(-2.5783819523894635e-12+4.3431924723336124e-13j)
46,(-2.454925152051146e-12+2.1316282072803006e-13j)
47,(-2.617905892066119e-12+5.795364188543317e-13j)
48,(-2.5233148903680558e-12+3.665956427312267e-13j)
49,(-1.730615650785694e-12+1.9373391779708982e-14j)
50,(-2.072120253160392e-12+3.448328259656556e-13j)
